--- START ---
[Block #639] X:1200 | Y:750 | Entropy: 5.27 bits/pixel
[Block #640] X:1250 | Y:750 | Entropy: 5.37 bits/pixel
[Block #641] X:1300 | Y:750 | Entropy: 6.2 bits/pixel
[Block #663] X:350 | Y:800 | Entropy: 5.51 bits/pixel
[Block #664] X:400 | Y:800 | Entropy: 4.66 bits/pixel
[Block #665] X:450 | Y:800 | Entropy: 3.69 bits/pixel
[Block #666] X:500 | Y:800 | Entropy: 1.84 bits/pixel
[Block #667] X:550 | Y:800 | Entropy: 2.62 bits/pixel
[Block #668] X:600 | Y:800 | Entropy: 3.41 bits/pixel
[Block #669] X:650 | Y:800 | Entropy: 5.32 bits/pixel
[Block #670] X:700 | Y:800 | Entropy: 4.83 bits/pixel
[Block #690] X:1700 | Y:800 | Entropy: 3.50 bits/pixel
[Block #691] X:1750 | Y:800 | Entropy: 3.66 bits/pixel
[Block #692] X:1800 | Y:800 | Entropy: 3.45 bits/pixel
[Block #693] X:1850 | Y:800 | Entropy: 3.57 bits/pixel
[Block #694] X:1900 | Y:800 | Entropy: 3.31 bits/pixel
[Block #695] X:1950 | Y:800 | Entropy: 3.58 bits/pixel
[Block #696] X:2000 | Y:800 | Entropy: 3.53 bits/pixel
